start,end,start [s],end [s],dur [s],speaker
5568,69134,0.348,4.321,3.973,SPEAKER_01
11816,24312,0.739,1.52,0.781,SPEAKER_00
99015,131612,6.188,8.226,2.037,SPEAKER_01
178064,193548,11.129,12.097,0.968,SPEAKER_01
195993,219354,12.25,13.71,1.46,SPEAKER_01
232122,253310,14.508,15.832,1.324,SPEAKER_01
256842,296230,16.053,18.514,2.462,SPEAKER_03
310899,360882,19.431,22.555,3.124,SPEAKER_01
364414,389405,22.776,24.338,1.562,SPEAKER_01
417657,456230,26.104,28.514,2.411,SPEAKER_01
495891,510016,30.993,31.876,0.883,SPEAKER_01
525772,560271,32.861,35.017,2.156,SPEAKER_00
588522,606451,36.783,37.903,1.121,SPEAKER_02
676536,684414,42.284,42.776,0.492,SPEAKER_00
684414,688217,42.776,43.014,0.238,SPEAKER_01
705874,717011,44.117,44.813,0.696,SPEAKER_02
